"biomat" (medicamento homeopatico para artritis y gota)	4
"de atend" para deficit atencional	4
"kaloba" remedio	4
"lac" 600 gramos (tratamiento estreñimiento) formula en polvo	4
"nescafe" tarro de cafe	0
"omo" detergente polvo	3
"osteoartrit" (medicamento homeopatico para el dolor articular)	4
"venda-faja" para brazo	4
% de sodio de cloruro	4
% viaflex 500 cc	4
'pago diario por aseo de vivienda	3
((trimebutino) pastillas	4
(-99 gr) salsa tomate italiana (envasada)	0
(-99 kg) carne vacuno + carne cerdo + carne pollo	0
(-99 und) polera + chaqueta de mujer	2
(1 par) zapatillas de niño	2
(1 sachet) salchichas	0
(1) carga tarjeta bip (escolar)	5
(1) examenes de sangre + (1) examen de orina	4
(1) jarabe " hiedrix" + vitamina c	4
(1) palta fuerte a granel	0
(1) pan hot dof a granel	0
(1) platanos a granel	0
(1) quesillo colun fresco	0
(1/2 kg arrollado huaso + mortadela)	0
(1/4 kg) carne molida vacuno a granel	0
(10 comp.) migra - nefersil dolores cabeza jaqueca	4
(10 unidades) cigarros	1
(10) cajetilla de cigarros	1
(11 cajetillas de cigarros 20 c/u) cigarros	1
(12unid) agua mineral con gas	0
(18 meses) body para bebe (ropa)	2
(18 und) pack escudo tradicional cerveza	1
(2 x 2) lavalozas	3
(2) camisas ( 3) corbatas	2
(2) carga tarjeta bip	5
(2) coca - cola	0
(2) gotas para los ojo (glaucoma)	4
(2) naraja a granel	0
(2) roscalata bdg combinado 8 x 1 1/4	3
(20 l) bidon de agua purificada (ilegible)	0
(20 u) cajetilla grande cigarros	1
(200 capsulas) lecitina con kelp	4
(200 x 2) chorito congelados envasado	0
(21 minutos) estacionamiento	5
(250 gr) mermelada bolsa frambuesa	0
(3 und) pijamas (hombre y mujer) 2 grande + 1 infantil (niño)	2
(3) betun zapatos color cafe	3
(3) paltas negras de la cruz a granel	0
(3) polera manga larga negra mujer	2
(3) sosten dama, (3) calzon dama	2
(30 compr) remedio carvelidol	4
(30) huevo extra	0
(3300) taxi	5
(350 cc x6) six pack cerveza cristal cero latas	1
(4 par) mitones para bebe	2
(4) examenes de sangre completo + (4) perfil lipido + (4)hemoglobina + (4) (glicosilada)	4
(4) hamburguesa de pollo	0
(4) jarabe para la tos	4
(4) paracetamol	4
(45,06) bencina cuenta boleta 714298	5
(5 bidones de 5 lts c/u) bidones agua purificada sin gas ni sabor	0
(5 cajas de cerveza, 12 und por caja)	1
(5) crema ojos	4
(5) detergente liquido popeye	3
(5) porotos granados en caja conserva	0
(5) radio taxi rodovario a departamento	5
(500 gr) zapallo camote fresco	0
(500 x 20) paracetamol	4
(6 pack) cerveza tecate (330 cc)	1
(6 und) papa fresca	0
(6) ampolleta ecocla 60 w electrica	3
(6) ampolleta ecocla 75 w electrica	3
(6) cervezas cristal	1
(6) cervezas en lata becker	1
(6) recarga celular entel pcs	6
(6) suavizante ropa baby lee	3
(60 u) complejo omega 3 (memoria)	4
(7) recarga celular entel pcs	6
(8) recarga celular entel pcs	6
(800 gr) lana de oveja	2
(95 oct) carga de combustible (auto pololo)	5
(accesorios) straps para bicicletas	5
(almuerzo) pasaje colegio niños	5
(ambietes) desodorante en spray lisoform	3
(amortiguadores, soporte izquierdo brazo desabollar, pintar, llantas) arreglo auto	5
(ampolleta, 10 tiras de pvc, 3 enchufes, 3 interruptores, 2 cajas, huincha aisladora, 1 mt de cable)	3
(analgesico) sobre tapsin caliente noche	4
(anovulatorios) pastillas anticonceptivas 21 pastillas	4
(bandeja) huevos	0
(bandeja) huevos cafe	0
(bencina 95 octanos) litros pet.	5
(blancos) cajetilla de cigarros (10 unidades)	1
(blusa mujer) blusa viscosa mujer	2
(bolcitas) te caja	0
(boleta) cerrojo para puerta	3
(bono) medicina infantil	4
(caja) paracetamol	4
(caja) paracetamol infantil (para fiebre)	4
(caja) remedio piascledine (piascledine)	4
(cajetilla 20) cigarro	1
(cajetilla 20) cigarros	1
(cajetilla) cigarro	1
(cajetilla) cigarros	1
(calzado) botas mujer	2
(carveridol) carveridol 25 mg 30 comprimidos para el mes anti hipertrofico.	4
(celo de mula) pomada para hacer friega	4
(celular alcatel one touch, con plan 25.000)	6
(centro) pasaje	5
(cervezas) cervezas	1
(chalas) dama sandalias	2
(chalecos + pantalones + poleras)	2
(choclo) ensalada envasada	0
(choripan) longaniza	0
(cierre amaricano) velcro	2
(cloro gel botella)	3
(colectivo) pasaje	5
(colegio) pasaje ir a buscar y volver	5
(continuacion tabla 6) pantalon largo de niño	2
